segment_type,segment_id,year,buffer_size,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category
100m,3,2013,100,L7,0.11509409408108286,0.034451291383850675,-0.14016896561288578,0.0287263550611841,-0.039853724074725,0.028016901696239545,low - lower,very low - upper,low - lower
100m,3,2013,200,L7,0.1253887005454606,0.04256119778699209,-0.14930357246236217,0.037668404576498817,-0.04669002759427832,0.027474083361056147,low - lower,very low - upper,low - lower
100m,3,2013,300,L7,0.1259525552183746,0.049135033368816715,-0.14935972921749033,0.043842059139014934,-0.04702803019447378,0.030910458443161527,low - lower,very low - upper,low - lower
100m,4,2007,100,L7,0.14791425346787138,0.057291755618378716,-0.16396408195290907,0.05046261623584238,-0.048162554756161144,0.04707150837693477,low - lower,very low - upper,low - lower
100m,4,2007,200,L7,0.14609180514415546,0.057390133075017884,-0.16129899814724993,0.05045269535780883,-0.04579219077498431,0.04481164372417057,low - lower,very low - upper,low - lower
100m,4,2007,300,L7,0.14970427363399033,0.06466302186015048,-0.16402643010215845,0.05580206065615472,-0.042683497559150844,0.050800057640982166,low - lower,very low - upper,low - lower
100m,4,2008,100,L7,0.09493301663354829,0.05183049525737274,-0.11426779710462405,0.04979432749640987,-0.01276099046212718,0.038035669121979455,very low - upper,very low - upper,low - lower
100m,4,2008,200,L7,0.09479941470724604,0.05167401165551567,-0.11639006226683474,0.04991595216944501,-0.012411259703538789,0.03730399879784091,very low - upper,very low - upper,low - lower
100m,4,2008,300,L7,0.09498766821622687,0.053228958087957044,-0.1175850964335098,0.050735103722916626,-0.006621815777596414,0.04033259984247901,very low - upper,very low - upper,low - lower
100m,4,2009,100,L7,0.14321800519199474,0.06560421305163981,-0.16517091672763096,0.05881902954998401,-0.04216245517217919,0.050216991534038725,low - lower,very low - upper,low - lower
100m,4,2009,200,L7,0.13981849505803895,0.06512833564234354,-0.16418774295488608,0.0581519143348446,-0.041187772535254734,0.0499391425827899,low - lower,very low - upper,low - lower
100m,4,2009,300,L7,0.1420224485434392,0.07099845962886991,-0.16682106157137438,0.06276402203211112,-0.03720234755752542,0.054450864344332134,low - lower,very low - upper,low - lower
100m,4,2010,100,L7,0.14709017202148114,0.06453074951811853,-0.1686307034869001,0.05858442404607298,-0.04517622896685104,0.04732328070815858,low - lower,very low - upper,low - lower
100m,4,2010,200,L7,0.14603244733521575,0.06505350415156479,-0.16774618956321388,0.05831592926853806,-0.045305576517678164,0.04546190824920358,low - lower,very low - upper,low - lower
100m,4,2010,300,L7,0.1523715681807056,0.074064822977895,-0.1740535052215795,0.06549735971238897,-0.045916237545018605,0.05147423465088093,low - lower,very low - upper,low - lower
100m,4,2011,100,L7,0.14169701434083534,0.06590991621229565,-0.16248035899830482,0.05744427205573497,-0.04701682212378176,0.04652603682750299,low - lower,very low - upper,low - lower
100m,4,2011,200,L7,0.1396338605966508,0.06557063136631609,-0.16216065026846044,0.0577476492908758,-0.04715429050013254,0.04762433647255048,low - lower,very low - upper,low - lower
100m,4,2011,300,L7,0.1446690043564009,0.07435823798999147,-0.167158498095957,0.06477014042664042,-0.04438670715815857,0.05452046726821689,low - lower,very low - upper,low - lower
100m,4,2012,100,L7,0.1411357578900741,0.05942662315252174,-0.16239763587723655,0.052405169134137355,-0.053472614090049,0.04828593103085124,low - lower,very low - upper,low - lower
100m,4,2012,200,L7,0.14079572397881362,0.05970067795766482,-0.16298945941173285,0.053235170008589294,-0.053736500834595025,0.044010525746351926,low - lower,very low - upper,low - lower
100m,4,2012,300,L7,0.1475377010492421,0.0708510523760742,-0.169453480526181,0.06161299060490989,-0.053681127372464,0.04944563848746712,low - lower,very low - upper,low - lower
100m,4,2013,100,L7,0.1266869522095168,0.040502668111220226,-0.14963393970105532,0.03513874159014898,-0.04602301480735083,0.03163010766661289,low - lower,very low - upper,low - lower
100m,4,2013,200,L7,0.12743194835716093,0.0438879207923098,-0.15055954521496448,0.03903590950680226,-0.047929479187147316,0.029282742710742573,low - lower,very low - upper,low - lower
100m,4,2013,300,L7,0.1336726678837,0.053628391583845456,-0.1563499442816788,0.04650550291976543,-0.04997442960377234,0.035498471104272566,low - lower,very low - upper,low - lower
