segment_id_x,100m_segment_id,Year,roadkill_count,min_dist_1,min_dist_2,min_dist_3,geometry,buffer_size,segment_type,segment_id_y,year,sensor_type,ndvi_mean,ndvi_std,ndwi_mean,ndwi_std,ndbi_mean,ndbi_std,ndvi_category,ndwi_category,ndbi_category,200m_segment_id
121-124,31.0,2010,0.0,43.508280978321224,205.53061857041135,,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2010,L7,0.1135280854440929,0.0307698586526097,-0.1467437531778194,0.0275241544050567,0.0420417802670379,0.0319169564872647,low - lower,very low - upper,low - upper,
121-124,31.0,2011,0.0,43.508280978321224,62.693721784484886,186.7540679081951,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2011,L7,0.1143508679496168,0.0297647992089156,-0.1428879330331891,0.0269925494972469,0.0349716717890239,0.031697907233808,low - lower,very low - upper,low - upper,
121-124,31.0,2012,0.0,43.508280978321224,46.7829639946414,62.693721784484886,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2012,L7,0.1129251908382208,0.0279828703987323,-0.1407062215572341,0.0291023296184464,0.0329886651715014,0.026190748358319,low - lower,very low - upper,low - upper,
121-124,31.0,2013,0.0,43.508280978321224,46.7829639946414,62.693721784484886,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2013,L7,0.1068480510967579,0.069354933381702,-0.1206439585558598,0.075783217485284,0.0026793968311136,0.0202530408334621,low - lower,very low - upper,low - upper,
121-124,31.0,2014,0.0,43.508280978321224,46.7829639946414,62.693721784484886,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2014,L8,0.3538079037163109,0.0939938615390907,-0.4176895592629139,0.0778622891806681,0.016062953238102,0.0605548541650169,decent - lower,very low - lower,low - upper,
121-124,31.0,2015,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2015,L8,0.0062381399391753,0.0060259789114489,-0.0078288088566593,0.0075584732818651,-0.1603968595333292,0.0178734815868226,very low - lower,low - upper,very low - upper,
121-124,31.0,2016,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2016,L8,0.369201731098672,0.1172885021420727,-0.3513454870451903,0.1049260050292129,-0.011345172288739,0.0665120575526505,decent - lower,very low - upper,low - upper,
121-124,31.0,2017,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2017,L8,0.4082117934743706,0.1161507262862903,-0.4445420326492002,0.1041745350140423,-0.0728482332791622,0.0646607624615854,decent - lower,very low - lower,low - lower,
121-124,31.0,2018,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2018,L8,0.2928849860083388,0.0940716095984379,-0.3750475057908084,0.0813874543297136,0.066872494885532,0.0634322937017928,low - upper,very low - upper,decent - lower,
121-124,31.0,2019,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2019,L8,0.3455124954145867,0.1182185305864477,-0.3413533974263251,0.1119194158926711,-0.0747368294940705,0.0701117799402428,low - upper,very low - upper,low - lower,
121-124,31.0,2020,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2020,L8,0.2739847856319789,0.101539738019752,-0.3558332497440941,0.0835182221428836,0.0807943946660378,0.0620295647666827,low - upper,very low - upper,decent - lower,
121-124,31.0,2021,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2021,L8,0.3556925720241697,0.1023047423617666,-0.4053219034268814,0.0785256364124496,-0.0081072887127363,0.0694066745250006,decent - lower,very low - lower,low - upper,
121-124,31.0,2022,0.0,43.508280978321224,46.7829639946414,51.1844473741611,"LINESTRING (455448.6536409833 4470091.592929217, 455548.1017448742 4470102.043690258)",200,100m,31,2022,L8,0.3373351522115053,0.0981707390665198,-0.4092457542046823,0.0860751691189624,0.0247149172043867,0.05606572503139,low - upper,very low - lower,low - upper,
125-128,32.0,2007,0.0,43.53502608345359,,,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2007,L7,0.1098537208841134,0.0294213018348057,-0.1276874227168804,0.0264690988044028,0.0112253337636447,0.0264008403861,low - lower,very low - upper,low - upper,
125-128,32.0,2008,0.0,43.53502608345359,,,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2008,L7,0.0148185059831467,0.0695213715905788,-0.0409691975650852,0.029821740738106,0.0466372231323797,0.1113317064628982,very low - upper,low - lower,low - upper,
125-128,32.0,2010,0.0,43.53502608345359,205.5579257329445,,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2010,L7,0.1208284342583213,0.0379814313480525,-0.1520367472348287,0.0329773805850502,0.0362475138578175,0.0335031313927228,low - lower,very low - upper,low - upper,
125-128,32.0,2011,0.0,43.53502608345359,62.69273363736565,186.79992224230836,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2011,L7,0.1211752142259679,0.0374679959155467,-0.1482665004562632,0.0329166147375558,0.0284375212535489,0.0345731464457439,low - lower,very low - upper,low - upper,
125-128,32.0,2012,0.0,43.53502608345359,46.77903408382811,62.69273363736565,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2012,L7,0.1109794595251489,0.0399719473510185,-0.1367155224029964,0.0441397857951398,0.0306166272439991,0.0267569648457922,low - lower,very low - upper,low - upper,
125-128,32.0,2013,0.0,43.53502608345359,46.77903408382811,62.69273363736565,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2013,L7,0.1131378791827199,0.066888027297242,-0.1266143525533167,0.0719886593560488,0.0011417734182663,0.0219931237806874,low - lower,very low - upper,low - upper,
125-128,32.0,2014,0.0,43.53502608345359,46.77903408382811,62.69273363736565,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2014,L8,0.3740976843522341,0.1134398163998609,-0.4327575546324728,0.0910221767744513,0.0044580823188879,0.0698630417386148,decent - lower,very low - lower,low - upper,
125-128,32.0,2015,0.0,43.53502608345359,46.77903408382811,51.24230673982432,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2015,L8,0.0051845521084497,0.0052861941864959,-0.0065331855920404,0.0065215206925533,-0.1667418404335402,0.0164089499143278,very low - lower,low - upper,very low - upper,
125-128,32.0,2016,0.0,43.53502608345359,46.77903408382811,51.24230673982432,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2016,L8,0.3840247226887738,0.144348264282871,-0.3626808956777143,0.1214859060782184,-0.0257112836102057,0.0804457448785782,decent - lower,very low - upper,low - upper,
125-128,32.0,2017,0.0,43.53502608345359,46.77903408382811,51.24230673982432,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2017,L8,0.4200474102410574,0.1592048494031802,-0.441323986720227,0.1432682762959892,-0.068669611991054,0.0944773314524821,decent - lower,very low - lower,low - lower,
125-128,32.0,2018,0.0,43.53502608345359,46.77903408382811,51.24230673982432,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2018,L8,0.3136561373354607,0.1113638949894275,-0.3921744280631327,0.0956690253159535,0.0554208027175892,0.0677324370951002,low - upper,very low - upper,decent - lower,
125-128,32.0,2019,0.0,43.53502608345359,46.77903408382811,51.24230673982432,"LINESTRING (455548.1017448742 4470102.043690258, 455647.4510102562 4470113.42520479)",200,100m,32,2019,L8,0.3458976454482093,0.121923350725147,-0.3584165237228284,0.1262501555794573,-0.0601066225843792,0.0782039392245793,low - upper,very low - upper,low - lower,
